Period,Exporter,Importer,Qty_asperE,Qty_asperI,PrimaryValue_asperE,PrimaryValue_asperI,Qty_mean
2019,BRA,NOR,2.66299592241e8,4.03566e8,1.13715888e8,1.98475843261e8,3.3493279612049997e8
2019,BRA,SAU,28.0,0.0,133.0,0.0,28.0
2019,BRA,GBR,9.931,0.0,4.0,0.0,9.931
2019,BRA,USA,8.466171638896e9,7.67591543541e9,3.2190758e9,3.698810496e9,8.071043537153e9
2019,BRN,MYS,4.0142897318e7,1.94378e7,2.112274672e7,1.0016270568e7,2.9790348659e7
2019,BRN,SGP,9.90070084e8,6.32429e8,5.0304719564000005e8,3.17423316907e8,8.11249542e8
2019,BRA,CHN,3.76547329e10,4.016141e10,1.5480473967e10,1.9181757794e10,3.890807145e10
2019,AGO,CHL,4.47391974e8,3.7758153e8,1.73542202956e8,1.9749635234e8,4.12486752e8
2019,AGO,CHN,5.17948383e10,4.734195e10,2.1412386921338e10,2.3224440673e10,4.956839415e10
2019,AGO,FRA,1.198474902e9,8.98967591368e8,5.26544295868e8,4.47151177658e8,1.048721246684e9
2019,AGO,ISR,4.53690282e8,0.0,1.61740209404e8,0.0,4.53690282e8
2019,AGO,ITA,1.759288413e9,1.06977e9,7.76088140343e8,5.19980318925e8,1.4145292065e9
2019,AGO,JPN,1.4376144e8,1.22045e8,5.5565910363e7,5.8612757093e7,1.3290322e8
2019,AGO,KOR,1.51327137e8,0.0,5.3031642824e7,0.0,1.51327137e8
2019,AGO,MYS,5.88188064e8,2.44618e8,2.67198735636e8,1.2995121975e8,4.16403032e8
2019,AGO,S19,4.5168402e8,3.84654e8,1.99242111228e8,1.9168212135e8,4.1816901e8
2019,AGO,NLD,2.88218346e8,1.22902e8,1.43344312792e8,5.8602622568e7,2.05560173e8
2019,AGO,NOR,3.0261993e8,2.66476e8,1.17942002236e8,1.27182404822e8,2.84547965e8
2019,AGO,PER,1.49955603e8,1.27425e8,8.5354882931e7,6.836135969e7,1.386903015e8
2019,AGO,POL,5.94088713e8,5.12573e8,2.15122727931e8,2.47011836e8,5.533308565e8
2019,AGO,PRT,2.709914115e9,0.0,1.099592659551e9,0.0,2.709914115e9
2019,AGO,IND,6.774374193e9,5.779499e9,2.677413953868e9,2.796554052143e9,6.2769365965e9
2019,AGO,SGP,6.08817996e8,4.46484e8,2.58004285008e8,2.24267177667e8,5.27650998e8
2019,AGO,ZAF,8.97472002e8,0.0,3.33121663088e8,0.0,8.97472002e8
2019,AGO,ESP,2.660633496e9,0.0,1.156928758047e9,0.0,2.660633496e9
2019,AGO,THA,1.386165975e9,1.097767202112e9,6.31110865693e8,5.2467840377e8,1.241966588556e9
2019,AGO,ARE,1.51024719e8,0.0,5.3305704245e7,0.0,1.51024719e8
2019,AGO,USA,2.037946725e9,1.583960502104e9,8.01218974482e8,7.63266581e8,1.810953613552e9
2019,AGO,URY,8.52151914e8,0.0,3.36320230727e8,0.0,8.52151914e8
2019,BRA,BHS,7.006e7,0.0,2.9862664e7,0.0,7.006e7
2019,BRA,CHL,2.8626562e9,3.29682171e9,1.201628999e9,1.56372640242e9,3.079738955e9
2019,BRA,IDN,1.38701e8,0.0,6.0801184e7,0.0,1.38701e8
2019,BRA,CIV,11.0,0.0,513.0,0.0,11.0
2019,BRA,JAM,2.82384e7,1.11323e8,1.0220832e7,1.3079971774e8,6.97807e7
2019,BRA,KOR,1.32148e8,72.0,5.8946841e7,399.0,6.6074036e7
2019,BRA,LUX,1.520644e8,0.0,6.0552533e7,0.0,1.520644e8
2019,BRA,MYS,6.312853e8,4.64363e7,2.27087738e8,1.6753060114e7,3.388608e8
2019,BRA,PHL,2.619328e8,2.81409171e8,1.09610957e8,1.10997889e8,2.716709855e8
2019,BRA,PRT,6.72969e8,0.0,2.64445151e8,0.0,6.72969e8
2019,BRA,LCA,1.3042e8,0.0,5.3592201e7,0.0,1.3042e8
2019,BRA,IND,2.4918414e9,2.206287e9,9.8178193e8,9.88031659028e8,2.3490642e9
2019,BRA,SGP,6.5531688e8,2.60088e8,2.46485361e8,1.12458461475e8,4.5770244e8
2019,BRA,ESP,2.3445285e9,0.0,8.13380017e8,0.0,2.3445285e9
2019,BRA,URY,1.7828208e9,0.0,7.4217684e8,0.0,1.7828208e9
2019,BRN,JPN,3.21112e8,2.79894e8,1.3833616066e8,1.4207695058e8,3.00503e8
2019,BRN,KOR,2.5963e8,2.596299e8,1.4970737027e8,1.3002556e8,2.5962995e8
2019,BRN,PHL,1.95175e8,2.30568285e8,1.0038451726e8,9.5345081e7,2.128716425e8
2019,BRN,IND,1.185305e9,1.10709e9,5.9932032557e8,5.78360112714e8,1.1461975e9
2019,BRN,VNM,3.4258e8,4.27052e8,1.6806069835e8,1.5935015245e8,3.84816e8
2019,BRN,THA,1.069953e9,1.031979861796e9,5.3030585848e8,4.9295861025e8,1.050966430898e9
2019,BOL,LCA,4.586345957e7,0.0,2.148310865e7,0.0,4.586345957e7
2019,AUS,CHN,1.568583e9,2.2688246e9,7.01808342169e8,1.211350119e9,1.9187038e9
2019,AUS,FJI,4638.0,113.0,66733.098,1400.205,2375.5
2019,AUS,IDN,9.81015e8,1.4164871e9,4.3505907238e8,7.21100324e8,1.19875105e9
2019,AUS,JPN,1.71971e8,3.811528e8,7.6591733234e7,1.99824079124e8,2.765619e8
2019,AUS,KOR,7.10614e8,9.223306e8,2.78390904431e8,4.98041964e8,8.164723e8
2019,AUS,MYS,2.24645e9,9.03964e8,9.53420033619e8,5.17545127884e8,1.575207e9
2019,AUS,NCL,26714.4,0.0,120229.551,0.0,26714.4
2019,AUS,NZL,35.4,1.44327e8,459.504,8.776258256e7,7.21635177e7
2019,AUS,MHL,100.0,0.0,3475.827,0.0,100.0
2019,AUS,PNG,2.84642e8,1.90483101e8,1.25615023865e8,8.051439442e7,2.375625505e8
2019,AUS,PHL,1.4977e8,1.36510086e8,5.7626132772e7,5.5611385e7,1.43140043e8
2019,AUS,SGP,2.65886e9,2.77805e9,1.107567533217e9,1.419701687707e9,2.718455e9
2019,AUS,ZAF,8200.0,0.0,46356.41,0.0,8200.0
2019,AUS,THA,6.55347e8,1.561929059727e9,3.25896750489e8,7.2121343333e8,1.1086380298635e9
